Date,Time,ICL1021
18/05/29,24:00:00,0.0
18/05/30,24:00:00,0.0
18/05/31,24:00:00,0.0
18/06/01,24:00:00,0.0
18/06/02,24:00:00,0.0
18/06/03,24:00:00,0.0
18/06/04,24:00:00,0.0
18/06/05,24:00:00,0.0
18/06/06,24:00:00,0.0
18/06/07,24:00:00,0.0
18/06/08,24:00:00,0.0
18/06/09,24:00:00,0.0
18/06/10,24:00:00,0.0
18/06/11,24:00:00,0.0
18/06/12,24:00:00,0.0
18/06/13,24:00:00,0.0
18/06/14,24:00:00,0.0
18/06/15,24:00:00,0.0
18/06/16,24:00:00,0.0
18/06/17,24:00:00,0.0
18/06/18,24:00:00,0.0
18/06/19,24:00:00,0.0
18/06/20,24:00:00,0.0
18/06/21,24:00:00,0.0
18/06/22,24:00:00,0.0
18/06/23,24:00:00,0.0
18/06/24,24:00:00,0.0
18/06/25,24:00:00,0.0
18/06/26,24:00:00,0.0
18/06/27,24:00:00,0.0
18/06/28,24:00:00,0.0
18/06/29,24:00:00,0.0
18/06/30,24:00:00,0.0
18/07/01,24:00:00,0.0
18/07/02,24:00:00,0.0
18/07/03,24:00:00,0.0
18/07/04,24:00:00,0.0
18/07/05,24:00:00,0.0
18/07/06,24:00:00,0.0
18/07/07,24:00:00,0.0
18/07/08,24:00:00,0.0
18/07/09,24:00:00,0.0
18/07/10,24:00:00,0.0
18/07/11,24:00:00,0.0
18/07/12,24:00:00,0.0
18/07/13,24:00:00,0.0
18/07/14,24:00:00,0.0
18/07/15,24:00:00,0.0
18/07/16,24:00:00,0.0
18/07/17,24:00:00,0.0
18/07/18,24:00:00,0.0
18/07/19,24:00:00,0.0
18/07/20,24:00:00,0.0
18/07/21,24:00:00,0.0
18/07/22,24:00:00,0.0
18/07/23,24:00:00,0.0
18/07/24,24:00:00,0.0
18/07/25,24:00:00,0.0
18/07/26,24:00:00,0.0
18/07/27,24:00:00,0.0
18/07/28,24:00:00,0.0
18/07/29,24:00:00,0.0
18/07/30,24:00:00,0.0
18/07/31,24:00:00,0.0
18/08/01,24:00:00,0.0
18/08/02,24:00:00,0.0
18/08/03,24:00:00,0.0
18/08/04,24:00:00,0.0
18/08/05,24:00:00,0.0
18/08/06,24:00:00,0.0
18/08/07,24:00:00,0.0
18/08/08,24:00:00,0.0
18/08/09,24:00:00,0.0
18/08/10,24:00:00,0.0
18/08/11,24:00:00,0.0
18/08/12,24:00:00,0.0
18/08/13,24:00:00,0.0
18/08/14,24:00:00,0.0
18/08/15,24:00:00,0.0
18/08/16,24:00:00,0.0
18/08/17,24:00:00,0.0
18/08/18,24:00:00,0.0
18/08/19,24:00:00,0.0
18/08/20,24:00:00,0.0
18/08/21,24:00:00,0.0
18/08/22,24:00:00,0.0
18/08/23,24:00:00,0.0
18/08/24,24:00:00,0.0
18/08/25,24:00:00,0.0
18/08/26,24:00:00,0.0
18/08/27,24:00:00,0.0
18/08/28,24:00:00,0.0
18/08/29,24:00:00,0.0
18/08/30,24:00:00,0.0
18/08/31,24:00:00,0.0
18/09/01,24:00:00,0.0
18/09/02,24:00:00,0.0
18/09/03,24:00:00,0.0
18/09/04,24:00:00,0.0
18/09/05,24:00:00,0.0
18/09/06,24:00:00,0.0
18/09/07,24:00:00,0.0
18/09/08,24:00:00,0.0
18/09/09,24:00:00,0.0
18/09/10,24:00:00,0.0
18/09/11,24:00:00,0.0
18/09/12,24:00:00,0.0
18/09/13,24:00:00,0.0
18/09/14,24:00:00,0.0
18/09/15,24:00:00,0.0
18/09/16,24:00:00,0.0
18/09/17,24:00:00,0.0
18/09/18,24:00:00,0.0
18/09/19,24:00:00,0.0
18/09/20,24:00:00,0.0
18/09/21,24:00:00,0.0
18/09/22,24:00:00,0.0
18/09/23,24:00:00,0.0
18/09/24,24:00:00,0.0
18/09/25,24:00:00,0.0
18/09/26,24:00:00,0.0
18/09/27,24:00:00,0.0
18/09/28,24:00:00,0.0
18/09/29,24:00:00,0.0
18/09/30,24:00:00,0.0
18/10/01,24:00:00,0.0
18/10/02,24:00:00,0.0
18/10/03,24:00:00,0.0
18/10/04,24:00:00,0.0
18/10/05,24:00:00,0.0
18/10/06,24:00:00,0.0
18/10/07,24:00:00,0.0
18/10/08,24:00:00,0.0
18/10/09,24:00:00,0.0
18/10/10,24:00:00,0.0
18/10/11,24:00:00,0.0
18/10/12,24:00:00,0.0
18/10/13,24:00:00,0.0
18/10/14,24:00:00,0.0
18/10/15,24:00:00,0.0
18/10/16,24:00:00,0.0
18/10/17,24:00:00,0.0
18/10/18,24:00:00,0.0
18/10/19,24:00:00,0.0
18/10/20,24:00:00,0.0
18/10/21,24:00:00,0.0
18/10/22,24:00:00,0.0
18/10/23,24:00:00,0.0
18/10/24,24:00:00,0.0
18/10/25,24:00:00,0.0
18/10/26,24:00:00,0.0
18/10/27,24:00:00,0.0
18/10/28,24:00:00,0.0
18/10/29,24:00:00,0.0
18/10/30,24:00:00,0.0
18/10/31,24:00:00,0.0
18/11/01,24:00:00,0.0
18/11/02,24:00:00,0.0
18/11/03,24:00:00,0.0
18/11/04,24:00:00,0.0
18/11/05,24:00:00,0.0
18/11/06,24:00:00,0.0
18/11/07,24:00:00,0.0
18/11/08,24:00:00,0.0
18/11/09,24:00:00,0.0
18/11/10,24:00:00,0.0
18/11/11,24:00:00,0.0
18/11/12,24:00:00,0.0
18/11/13,24:00:00,0.0
18/11/14,24:00:00,0.0
18/11/15,24:00:00,0.0
18/11/16,24:00:00,0.0
18/11/17,24:00:00,0.0
18/11/18,24:00:00,0.0
18/11/19,24:00:00,0.0
18/11/20,24:00:00,0.0
18/11/21,24:00:00,0.0
18/11/22,24:00:00,0.0
18/11/23,24:00:00,0.0
18/11/24,24:00:00,0.0
18/11/25,24:00:00,0.0
18/11/26,24:00:00,0.0
18/11/27,24:00:00,0.0
18/11/28,24:00:00,0.0
18/11/29,24:00:00,0.0
18/11/30,24:00:00,0.0
18/12/01,24:00:00,0.0
18/12/02,24:00:00,0.0
18/12/03,24:00:00,0.0
18/12/04,24:00:00,0.0
18/12/05,24:00:00,0.0
18/12/06,24:00:00,0.0
18/12/07,24:00:00,0.0
18/12/08,24:00:00,0.0
18/12/09,24:00:00,0.0
18/12/10,24:00:00,0.0
18/12/11,24:00:00,0.0
18/12/12,24:00:00,0.0
18/12/13,24:00:00,0.0
18/12/14,24:00:00,0.0
18/12/15,24:00:00,0.0
18/12/16,24:00:00,0.0
18/12/17,24:00:00,0.0
18/12/18,24:00:00,0.0
18/12/19,24:00:00,0.0
18/12/20,24:00:00,0.0
18/12/21,24:00:00,0.0
18/12/22,24:00:00,0.0
18/12/23,24:00:00,0.0
18/12/24,24:00:00,0.0
18/12/25,24:00:00,0.0
18/12/26,24:00:00,0.0
18/12/27,24:00:00,0.0
18/12/28,24:00:00,0.0
18/12/29,24:00:00,0.0
18/12/30,24:00:00,0.0
18/12/31,24:00:00,0.0
